name,website,pythh_url,description,primary_sector,current_stage,status,health_tier,entry_date,entry_god_score,current_god_score,god_delta,moic,irr_pct,entry_valuation_usd,current_valuation_usd,latest_round_type,latest_round_post_money_usd,latest_lead_investor,total_rounds_tracked,signal_score,sector_god_percentile,days_since_last_event,verified_funding_last_90d,exit_acquirer,exit_type,exit_date,holding_days,entered_late,virtual_check_usd
Alt-qq,https://alt-qq.com/,https://pythh.ai/portfolio/e2137323-5a0a-47d0-9f33-d00c9092a62a,Revolutionizing the film industry with AI-driven tools,Gaming,3,active,core,2026-05-31,100,100,0,1,0,40000000,40000000,,,,0,6.2,100,,0,,,,19,no,100000
Shipshared,https://shipshared.link,https://pythh.ai/portfolio/b002449f-73f7-41cb-8ad7-d3c96bcbb89a,Traffic Marketplace for Startups,Marketplace,2,active,core,2026-05-31,100,100,0,1,0,20000000,20000000,,,,0,7,100,,0,,,,19,no,100000
AheadComputing,https://aheadcomputing.com,https://pythh.ai/portfolio/1f232c8a-f0c7-4150-9fff-c24abb5717eb,Building the world's fastest CPU for modern workloads.,AI/ML,2,active,core,2026-05-31,97,97,0,1,0,303030303,303030303,,,,17,6.9,99.9,6,14,,,,19,yes,100000
Privacera,https://privacera.com,https://pythh.ai/portfolio/1000e57e-78ab-4e19-9502-e7502795164c,Intelligent security and privacy tools for enterprise big data analytics,Cybersecurity,1,active,core,2026-06-11,90,90,0,0.89,-99.5,312500000,277777778,Series B,,,7,6.9,98,6,6,,,,8,yes,100000
PermitFlow,https://permitflow.com/,https://pythh.ai/portfolio/06902b09-279f-4ea8-b4f5-ac0c32f3ba56,Revolutionizing construction with AI-driven permit management.,PropTech,1,active,core,2026-06-01,97,98,1,1,-90.8,337500000,337500000,Series B,,,20,8.1,100,2,16,,,,18,yes,100000
Inferact,https://inferact.ai,https://pythh.ai/portfolio/feda194d-bc8c-4f44-98af-739e9c1ea7db,Accelerating AI inference with open-source solutions,AI/ML,1,active,core,2026-01-22,97,98,1,1.07,0,800000000,856000000,seed,800000000,,19,5.4,99.9,8,17,,,,147,yes,100000
Codacy,https://codacy.com,https://pythh.ai/portfolio/fa392cd6-e605-48dc-8f46-e260a19a6cee,Security and Code Quality for AI-Accelerated Coding,Code Quality,1,active,core,2026-06-03,95,96,1,1.14,-100,75000000,85867500,,,,8,3.3,50,20,6,,,,16,no,100000
Hebbia,www.hebbia.ai,https://pythh.ai/portfolio/7451c21c-4e5a-475e-80f3-5fb87227026e,AI search and analysis platform,AI/ML,1,active,core,2025-12-22,94,95,1,1,0,700000000,700000000,Series B,700000000,,7,4,99.8,0,5,,,,179,yes,100000
Trycardinal,https://trycardinal.ai,https://pythh.ai/portfolio/5aabd989-9bee-4033-ad90-f2ee5a40c88e,AI Platform for Precision Outbound,AI/ML,1,active,core,2026-06-08,91,92,1,1,0,12000000,12000000,,,,2,6.5,99.5,56,0,,,,11,no,100000
Mendra,https://mendra.com,https://pythh.ai/portfolio/69c5c137-beb6-4b91-b2f6-2ffac49d3218,AI-native biopharma for rare diseases,HealthTech,1,active,core,2026-06-03,97,99,2,1,0,410000000,410000000,Series A,,,10,4.5,99.8,2,8,,,,16,yes,100000
Elliptic,https://elliptic.co,https://pythh.ai/portfolio/3a38bb8a-f0ef-46a8-aa60-9abd846171d1,Blockchain Analytics & Crypto Compliance Solutions,Crypto/Web3,1,active,core,2025-12-28,94,96,2,50,409443.9,13000000,670000000,,670000000,,17,7.2,100,1,16,,,,173,no,100000
Unifyr,https://unifyr.com,https://pythh.ai/portfolio/07beef0c-4732-4e53-b359-fefaef28d995,"Unifyr, a Cary, NC-based provider of an AI-driven partner ecosystem platform, received a $20M investment.",SaaS,1,active,core,2026-06-03,94,96,2,1.11,1006.2,100000000,111111111,investment,,,6,4.5,99.9,2,4,,,,16,no,100000
Jetson,https://jetson.com,https://pythh.ai/portfolio/69fc2d58-706f-48df-94f0-34ac3b1db98b,Pioneering EVTOL company for personal electric aerial vehicles,Consumer,2,active,core,2026-06-04,94,96,2,1.11,0,250000000,277777778,Series A,,,10,5.5,100,19,8,,,,15,yes,100000
Syneron Bio,syneronbio.com,https://pythh.ai/portfolio/19985c1e-6053-4257-9b36-504a37ef33be,"Beijing, China-based developer of an intelligent high-throughput macrocyclic peptide drug discovery platform",Climate,2,active,core,2026-06-08,91,93,2,1,0,937500000,937500000,,,,10,5.6,98.6,3,7,,,,11,yes,100000
Norm AI,norm.ai,https://pythh.ai/portfolio/6f6796a4-38f2-4864-8290-542af2a9621f,AI-powered compliance automation,AI/ML,1,active,core,2026-06-08,91,93,2,3.84,-98,312500000,1200000000,Series Unknown,1200000000,,27,5.9,99.7,2,22,,,,11,yes,100000
Peripheral Labs,peripherallabs.com,https://pythh.ai/portfolio/5af079f4-4da4-4db0-be66-69e3864afd66,Toronto-based developer of AI-driven neural rendering platform for immersive experiences,AI/ML,1,active,core,2026-06-07,91,93,2,1,0,20000000,20000000,seed,,,8,4,99.7,0,5,,,,12,no,100000
Gale,gale.com,https://pythh.ai/portfolio/5700a65f-d12d-4e95-8928-c3b1c7db9654,"GaleSan Francisco, CA, USAFast and Data-Driven Immigration PlatformWinter 2025B2BLegal",Fintech,1,active,core,2026-06-10,91,93,2,0.83,-99.9,12000000,10000000,,,,2,4,99.8,3,0,,,,9,no,100000
Marqeta,https://marqeta.com,https://pythh.ai/portfolio/575a280a-934a-4bc5-9e17-374f13aad22e,Card issuing platform,Developer Tools,2,active,core,2026-06-08,91,93,2,2.87,0,1500000000,4300000000,,,,4,7.6,99.9,0,1,,,,11,yes,100000
IMVARIA,https://imvaria.com,https://pythh.ai/portfolio/d4e00aeb-c71f-479b-b1a1-13b85196c420,"IMVARIA, a Berkeley, California-based health tech company developing AI-driven digital biomarker solutions, said it has secured strategic in",AI/ML,1,active,core,2026-06-11,90,92,2,1,0,11666667,11666667,seed,,,3,4.4,99.5,9,0,,,,8,no,100000
Coderabbit,coderabbit.com,https://pythh.ai/portfolio/2c6467e5-9f5b-4f87-a48c-bb281b8fc77b,Anthropic's Sonnet 4.,SaaS,1,active,core,2026-02-18,90,92,2,2.73,664.8,550000000,1500000000,Series C,1500000000,,24,6.4,99.7,4,22,,,,180,yes,100000
Jump,https://jump.com,https://pythh.ai/portfolio/2546372b-4dee-42ce-9f7b-a7e6a8baf446,"More revenue for teams, less friction for fans",SaaS,1,active,core,2026-06-01,97,100,3,0.89,-90.8,500000000,444444444,closed,,,9,5.9,100,2,7,,,,18,yes,100000
Hookdeck,hookdeck.com,https://pythh.ai/portfolio/e523d29b-b4eb-4f62-9c4d-3385c18eb423,A company focused on AI and infrastructure,Fintech,2,active,core,2026-06-03,95,98,3,1.14,2003.5,11666667,13333333,,,,7,6.9,100,0,5,,,,16,no,100000
LaunchDarkly,https://launchdarkly.com,https://pythh.ai/portfolio/a8a4e8fa-8acb-4de1-80b2-f4a24ca63149,Feature management,Developer Tools,2,active,core,2025-12-25,94,97,3,1,0,3000000000,3000000000,,,,5,7.3,99.9,1,3,,,,175,yes,100000
Deepgram,https://deepgram.com,https://pythh.ai/portfolio/18066448-49a9-462e-bb3a-7350979865b7,Voice AI platform,AI/ML,2,active,core,2025-12-25,93,96,3,50,782586.6,17666667,1300000000,Series C,1300000000,,11,4,99.9,2,9,,,,175,no,100000
Lance,lance.com,https://pythh.ai/portfolio/d3bdfff8-7bc3-46b9-807c-dcfa9b24bfa8,"LanceSan Francisco, CA, USAAI Agent Built for Hotel OperationsWinter 2026B2B",Fintech,1,active,core,2026-06-05,92,95,3,1,0,12333333,12333333,,,,2,4,99.9,6,0,,,,14,no,100000
Dash0,dash0.com,https://pythh.ai/portfolio/c7b4a5ad-f723-4b6a-b4f4-bab76d733f0e,Observability platform for developers,Climate,1,active,core,2025-12-22,91,94,3,5.71,3466.1,175000000,1000000000,,,,19,6.8,98.8,2,16,,,,178,no,100000
Premialab,premialab.com,https://pythh.ai/portfolio/328354d8-a10b-4e08-8ca0-c326d9e870de,Receives $220m growth investment from KKR,Fintech,2,active,core,2026-06-07,91,94,3,1.11,2364.9,1100000000,1222222222,closed,,,12,8,99.9,3,10,,,,12,yes,100000
Generated Code Isn,securityheaders.com,https://pythh.ai/portfolio/e0a4cc20-4542-458a-8514-565d29f4c76a,connect to Stripe,Cybersecurity,1,active,core,2026-06-10,90,93,3,1,0,11666667,11666667,,,,1,,99.9,3,0,,,,9,no,100000
Odoo,odoo.com,https://pythh.ai/portfolio/137d269d-a058-4b68-97e2-af67f30ce57d,Integrated business software platform for SMEs,SaaS,1,active,core,2026-01-23,96,100,4,1.05,13.4,5000000000,5260000000,Series Unknown,5300000000,,15,5.5,100,0,12,,,,147,yes,100000
Verkada,https://www.verkada.com,https://pythh.ai/portfolio/3807434b-cf02-4234-a6b3-588d5efa9e8e,Cloud-managed enterprise physical security.,Cybersecurity,1,active,core,2025-12-14,93,97,4,1,0,5800000000,5800000000,unknown,,,9,4,100,3,4,,,,186,yes,100000
Branch.io,https://branch.io,https://pythh.ai/portfolio/271134f1-6f50-43cb-8ab5-4949e2f33822,Branch.io - Marketing company,Gaming,4,active,core,2025-12-28,91,95,4,1,0,4000000000,4000000000,Series C,,,10,4,100,0,6,,,,173,yes,100000
YipitData,https://www.nvp.com/,https://pythh.ai/portfolio/00cb822e-bd3f-42ae-aa01-f012289ba343,Transforming data into actionable insights for investors.,AI/ML,1,active,core,2025-12-14,91,95,4,1,0,1000000000,1000000000,series-e,,,5,5.7,99.8,3,3,,,,186,yes,100000
Palona AI,palona.ai,https://pythh.ai/portfolio/ad4e2c89-1cbd-4e5a-84c8-dfc13a176df2,Palo Alto-based AI startup led by former Google and Meta engineering veterans that provides...,AI/ML,1,active,core,2026-05-15,85,89,4,1,0,55555556,55555556,Series A,,,14,4,95.5,0,12,,,,34,no,100000
Karumi,https://www.karumi.ai,https://pythh.ai/portfolio/afca5ff7-3442-40d4-a28f-3ffb7548d718,The Agentic Demo Platform,AI/ML,1,active,core,2026-06-06,92,97,5,1,0,12333333,12333333,,,,1,6.8,99.9,90,0,,,,13,no,100000
Crusoe Energy,https://crusoe.ai,https://pythh.ai/portfolio/2770a507-8546-426d-9866-17a77f9a3e5d,The AI factory company — renewable-powered AI cloud infrastructure.,CleanTech,1,active,core,2026-06-04,93,99,6,0.76,-99.9,10000000000,7638888889,Series Unknown,,,13,8.4,100,1,10,,,,15,yes,100000
Softr,softr.io,https://pythh.ai/portfolio/727c5a94-b725-482f-af06-1ae1694381c7,"Most AI app-builders stop at the shiny demo stage,",AI/ML,1,active,core,2026-06-09,92,98,6,1,0,12333333,12333333,,,,3,4,99.9,6,3,,,,10,no,100000
Mews,https://mews.com,https://pythh.ai/portfolio/ecdf92ec-a1a3-4268-81a3-ea8384698c3a,The Hospitality Management Software of the Future,SaaS,4,active,core,2026-01-22,92,98,6,1,0,2500000000,2500000000,closed,,,10,5.5,99.9,2,8,,,,147,yes,100000
Picoflow,https://picoflow.io,https://pythh.ai/portfolio/28e258d2-15a9-45e4-a48e-9bf07c2c3671,Accelerating chatbot development with advanced Agentic frameworks,AI/ML,2,active,core,2026-06-11,90,96,6,1,0,16666667,16666667,,,,0,4.5,99.9,,0,,,,8,no,100000
Kanu AI,https://kanu.ai,https://pythh.ai/portfolio/5a927129-c613-4d5e-8890-35144f580ebb,The worlds first enterprise grade AI engineer that takes your company's roadmap from prompt to production.,AI/ML,1,active,core,2025-12-31,79,85,6,1,0,8000000,8000000,,,,2,4,92.5,27,0,,,,169,no,100000
MOLTEN Cloud,https://moltencloud.com,https://pythh.ai/portfolio/a1f933f6-4742-4522-8d0a-55791c89e67a,Multi-cloud SaaS arming digital rights holders with better operations to manage & monetize content,Media,1,active,core,2026-01-03,82,89,7,1.08,2349.9,9000000,9720000,,,,4,6.9,99.4,6,1,,,,167,no,100000
Runware,runware.com,https://pythh.ai/portfolio/5b240fce-ca4e-42bd-948a-f7fb1801ba06,"Runware lets developers integrate real-time image generation in their apps, with an affordable pricing model.",CleanTech,1,active,core,2025-12-15,81,88,7,1,0,250000000,250000000,Series A,,,22,4,96.1,1,19,,,,185,yes,100000
Pomelo Care,https://pomelocare.com,https://pythh.ai/portfolio/f3c32716-4d23-4a48-b59a-fefa66039867,"Pomelo Care, a NYC-based developer of evidence-based healthcare solutions for women and children, raised $92m in Series C funding. The round, which valued at $1.7 billion, was led by Stripes with participation from An…",HealthTech,1,active,core,2026-01-09,91,99,8,1,0,1700000000,1700000000,,,,19,4.5,99.8,3,17,,,,161,yes,100000
Flywheel,https://flywheel.com,https://pythh.ai/portfolio/8cb39736-ec04-4cd6-83fa-78cd9517adb9,"Flywheel, a Minneapolis, MN-based provider of a medical imaging data management and analysis platform, raised $25M in equity funding. The round was led by Novalis Lifesciences and 8VC. The company intends to use the f…",HealthTech,1,active,core,2026-01-09,79,87,8,1.11,27,137500000,152777778,funding,,,7,4.3,96.5,6,5,,,,161,no,100000
QuickNode,https://quicknode.com,https://pythh.ai/portfolio/ab3dccce-2293-4aea-88ba-94c2983c99b9,QuickNode - Fintech company,Fintech,1,active,core,2025-12-28,78,86,8,1,0,800000000,800000000,Series B,800000000,,19,4,96.3,0,16,,,,173,yes,100000
Viidx,https://viidx.com,https://pythh.ai/portfolio/df9eac4f-0814-42cd-ae5d-1a904120ac5c,"Hello HN, I’m the founder of Viidx (https://viidx.com). I built this platform to create a unified interface for the latest AI video generation models, so you don't have to juggle multiple subscriptions or complex setu…",SaaS,1,active,core,2026-01-10,86,95,9,1,0,10333333,10333333,seed,,,3,3.8,99.9,6,0,,,,160,no,100000
AssemblyAI,https://assemblyai.com,https://pythh.ai/portfolio/d7f9fde9-ab5b-4b8b-a001-d9f1f0014c00,Speech recognition API,AI/ML,2,active,core,2025-12-25,82,92,10,1,0,300000000,300000000,,,,12,4,99.5,3,9,,,,175,yes,100000
Powerapply,https://powerapply.ai/,https://pythh.ai/portfolio/e99d58f6-b1d9-41c7-b185-5011cdb8beb0,AI-powered CV tailoring for job seekers,AI/ML,2,active,core,2026-01-21,89,100,11,1,0,16333333,16333333,,,,0,6.3,100,6,0,,,,148,no,100000
Baseten,https://baseten.co,https://pythh.ai/portfolio/833c6518-814a-4656-85b4-c43943012d57,ML model deployment,AI/ML,2,active,core,2025-12-25,81,92,11,6.05,3520.3,2150000000,13000000000,,13000000000,,17,7.2,99.5,2,14,,,,183,yes,100000
Truffle Security,https://www.intelcapital.com/,https://pythh.ai/portfolio/302c6d28-ff18-47f5-b808-81b03bfcadf1,Revolutionizing security with context-aware detection technology!,CleanTech,1,active,core,2025-12-14,80,91,11,1,0,156250000,156250000,Series A,,,11,5.4,98,6,8,,,,186,no,100000
Digicust,digicust.com,https://pythh.ai/portfolio/fe6b0557-a48e-4ee6-911b-40c48772db54,Customs clearance AI solutions,Fintech,2,active,core,2025-12-20,72,83,11,0.67,-55.8,20833333,13888889,seed,,,10,6.8,94.1,3,7,,,,181,no,100000
Heylua,https://heylua.ai,https://pythh.ai/portfolio/b5b76cb6-c757-4099-b981-d736f5099f59,"lua - the fastest way to build, deploy and scale enterprise grade ai agents.",Developer Tools,1,active,core,2026-01-15,70,81,11,1,7944.5,5000000,5000000,,,,5,6.3,92.7,6,2,,,,155,no,100000
Pluto,https://plutocredit.com/,https://pythh.ai/portfolio/17048071-a6cf-47ab-94a1-0e990d584b83,The company also announced $8.,Fintech,1,active,core,2026-01-08,82,94,12,1,0,47777778,47777778,,,,13,6.7,99.9,6,4,,,,161,no,100000
Netomi,https://www.netomi.com,https://pythh.ai/portfolio/16970b81-146c-4139-8433-bbfce636ec52,Transforming customer support with AI-driven solutions,AI/ML,1,active,core,2025-11-17,77,90,13,2.91,523.7,210000000,611111111,Series,,,19,9,96.8,1,17,,,,213,yes,100000
Agentin AI,agentin.com,https://pythh.ai/portfolio/2209d499-dbdf-4a46-8233-3855717f5e3d,"Agentin AISan Francisco, CA, USAAI Agents that automate enterprise software processesWinter 2025B2B",SaaS,1,active,core,2026-02-13,75,88,13,1,0,6666667,6666667,,,,0,5.5,97.4,6,0,,,,125,no,100000
Levels,levelshealth.com,https://pythh.ai/portfolio/de5da765-61c4-4f04-9d81-8ea22d8bdce6,"Metabolic health platform, Sam Corcos Founder & CEO",Climate,1,active,core,2025-12-22,82,96,14,1,0,9000000,9000000,,,,3,6.8,99.6,6,0,,,,179,no,100000
Infravision,https://www.gic.com.sg/,https://pythh.ai/portfolio/2cee44c8-ac9a-4e73-bafc-8005e78028f1,Revolutionizing power infrastructure with aerial robotics!,CleanTech,1,active,core,2025-12-14,71,85,14,1,0,568750000,568750000,Series B,,,14,4,86.3,4,12,,,,186,yes,100000
Nango,https://nango.com,https://pythh.ai/portfolio/43a0cb7e-3a25-4c54-86ba-7e837d8753fd,Simplifying API integrations for developers,Developer Tools,2,active,core,2026-05-15,85,100,15,4.44,1000000,15000000,66666667,,,,3,5.1,100,1,0,,,,34,no,100000
Espresso,espresso.systems,https://pythh.ai/portfolio/8f2e1919-d31d-4965-b9b4-f14ddde2040d,Crypto infrastructure startup,Developer Tools,1,active,core,2025-12-22,76,91,15,1.02,3.3,175000000,177777778,,,,4,4,99.7,6,1,,,,179,no,100000
Rebolt,rebolt.com,https://pythh.ai/portfolio/3368770b-3f08-4d0c-b0a8-fcc271bef644,ReboltBuild apps and agents by speaking with AIWinter 2025B2B,Fintech,1,active,core,2026-02-13,69,85,16,1,0,5000000,5000000,,,,3,4,96,1,0,,,,125,no,100000
Addi,https://co.addi.com/,https://pythh.ai/portfolio/0824b2ac-df8f-4a61-bf8d-4e783dc9838a,Empowering your purchases with accessible credit solutions!,Fintech,1,active,core,2025-12-14,82,99,17,1,210,277777778,277777778,Series D,,,27,7.8,100,1,22,,,,186,yes,100000
Claim Health,claimhealth.com,https://pythh.ai/portfolio/8640616b-1f1a-4d22-947a-c403532ca2dd,"Claim HealthNew York, NY, USAAI Revenue Platform for Post-Acute CareSpring 2025Healthcare",HealthTech,1,active,core,2026-02-13,70,89,19,1,0,24444444,24444444,seed,,,10,4,98,6,8,,,,125,no,100000
GridPlatform,https://gridplatform.com,https://pythh.ai/portfolio/7ecbf5f3-547a-4afe-95b9-5aa24ad016f5,"Unified Real-Time Data Platform for AI, Analytics & Transactions",AI/ML,1,active,core,2025-12-13,75,95,20,1,0,6666667,6666667,,,,0,6.8,99.8,6,0,,,,188,no,100000
Opengenepool,https://opengenepool.vidalalabs.com,https://pythh.ai/portfolio/1f9dde50-915e-4685-a7b1-c52c730241da,Empowering genetic research with open data access.,HealthTech,2,active,core,2026-01-19,74,95,21,1,0,11333333,11333333,,,,0,5.5,99.6,6,0,,,,150,no,100000
StarSling,starsling.com,https://pythh.ai/portfolio/4cb29786-c793-493a-8493-93bfab00e67b,"StarSlingSan Francisco, CA, USACursor for DevOpsSpring 2025B2BEngineering, Product and Design",Climate,1,active,core,2026-02-13,69,90,21,1,0,5000000,5000000,,,,0,4.9,97.2,6,0,,,,125,no,100000
Polar,polar.sh,https://pythh.ai/portfolio/f9e3f16c-030f-4e29-a9a0-a10684d14540,Global payments for AI-native developers,Climate,1,active,core,2025-12-22,70,92,22,1,0,55555556,55555556,seed,,,9,4,98.2,3,6,,,,178,no,100000
Writer,writer.com,https://pythh.ai/portfolio/a920d147-5b78-44ae-85aa-bc43ba97b259,Enterprise generative AI platform,AI/ML,1,active,core,2025-12-16,74,98,24,1.23,2901.3,1900000000,2327581700,,,,5,4,99.9,6,0,,,,184,yes,100000
Aave,https://aave.com,https://pythh.ai/portfolio/6701a3bf-c234-49c5-a23a-346efcaebb85,Open Source Protocol to create Non-Custodial Liquidity Markets,Crypto/Web3,1,active,core,2025-12-28,69,93,24,27.78,111060.7,5000000,138888889,,,,5,4,92.9,0,3,,,,173,no,100000
Intersect Power,intersectpower.com,https://pythh.ai/portfolio/7c06b10c-69b1-4106-8c2f-48a6fe48121e,Clean energy developer being acquired by Alphabet as part of its push to expand AI data centers,CleanTech,1,acquired,exited,2026-06-02,95,86,-9,0.79,-99.5,6000000000,4750000000,,4444444444,,3,6.7,89.2,87,0,Google,acquisition,2026-06-18,16,yes,100000
Vibe,vibe.us,https://pythh.ai/portfolio/0b3913f8-2931-4f98-9a7e-46f89aa74295,Innovating in AI/ML,AI/ML,2,acquired,exited,2026-06-06,92,97,5,5.13,1000000,17333333,88888889,,88888889,,1,4,99.9,75,0,Vibe,acquisition,2026-06-23,13,no,100000
Agentic,agentic.ai,https://pythh.ai/portfolio/22e53e7f-69b9-4fa2-8d27-39b473cca1c7,"Agentic AI represents a distinct evolution from stateless chatbots toward complex workflows, and scaling it requires new memory architecture",AI/ML,1,acquired,exited,2026-06-05,92,97,5,3.03,1000000,12333333,37320000,,138888889,,1,5.5,99.9,90,0,,acquisition,2026-06-18,13,no,100000
Facet,https://facet.ink,https://pythh.ai/portfolio/3638fb2d-b345-4718-8fd8-30c910fb1746,A platform for digital writing and publishing that allows authors to export their content as...,Unspecified,1,acquired,exited,2026-05-15,85,91,6,2.58,1000000,318181818,820000000,,353535354,,3,4,100,87,0,Donaldson Company,acquisition,2026-06-18,33,yes,100000
Montage,https://montage.app,https://pythh.ai/portfolio/67f7521a-e890-476f-9671-fd5adb1148d2,Repurpose long videos for LinkedIn and YouTube.,AI/ML,1,ipo,exited,2026-01-21,83,92,9,3.55,686.5,366666667,1300000000,,,,4,6.9,99.5,5,0,,ipo,2026-09-02,224,no,100000
Pelago,https://pelago.com,https://pythh.ai/portfolio/98f47f8e-f8b1-490c-9b0f-706247a2659d,Voice-First AI apps that deliver real life wellness outcomes,HealthTech,1,acquired,exited,2025-12-31,79,88,9,0.59,-68.8,580000000,342600000,,322222222,,5,4,96.9,83,3,,acquisition,2026-06-15,165,yes,100000
Treeline Biosciences,https://www.orbimed.com/,https://pythh.ai/portfolio/02dececd-b23b-41f5-8476-2e6e78ca0b2d,Revolutionizing Oncology with Precision Drug Discovery.,CleanTech,1,acquired,exited,2025-12-14,77,89,12,1.05,10.5,855000000,900000000,series A extension,1818181818,,6,5.3,97.1,83,2,Standard BioTools,acquisition,2026-06-21,188,yes,100000
Echelon,https://www.baincapitalventures.com/,https://pythh.ai/portfolio/28e3d045-943c-4362-83f2-5203f84ae067,Revolutionizing IT Services with Intelligent Automation,CleanTech,1,acquired,exited,2025-12-14,80,95,15,32.21,12059.7,26388889,850000000,seed,,,7,4,99,2,4,Starwood,acquisition,2026-09-05,264,no,100000
Statsig,https://statsig.com,https://pythh.ai/portfolio/d1ba0641-7a1b-4a9a-bf50-b80728eb707b,Product analytics and experimentation,Fintech,1,acquired,exited,2026-01-02,79,94,15,1,0,1100000000,1100000000,series-a,5500000000,,3,4,99.9,87,0,OpenAI,acquisition,2026-06-18,166,yes,100000
Aspen Power,https://aspenpower.com,https://pythh.ai/portfolio/138e886e-8793-4db9-bdd4-f3945c914512,"Aspen Power, a NYC-based provider of a distributed generation platform for clean energy, received a $200m strategic capital commitment from",Climate,1,acquired,exited,2026-01-13,73,96,23,1.05,10.7,332500000,350000000,closed,,,6,6.6,99.6,50,4,Carlyle,acquisition,2026-07-18,185,yes,100000
